favorite,retweet,tweet_id
2566,516,666020888022790149
129,47,666029285002620928
125,44,666033412701032449
299,141,666044226329800704
109,41,666049248165822465
133,58,666050758794694657
1223,852,666051853826850816
434,252,666055525042405380
298,142,666057090499244032
111,57,666058600524156928
475,219,666063827256086533
148,62,666071193221509120
322,164,666073100786774016
119,45,666082916733198337
164,74,666094000022159362
155,68,666099513787052032
80,13,666102155909144576
14339,6626,666104133288665088
103,35,666268910803644416
175,76,666273097616637952
149,66,666287406224695296
508,357,666293911632134144
199,91,666337882303524864
298,138,666345417576210432
221,73,666353288456101888
779,574,666362758909284353
189,93,666373753744588802
167,86,666396247373291520
110,41,666407126856765440
449,328,666411507551481857
126,47,666418789513326592
318,111,666421158376562688
165,84,666428276349472768
321,199,666430724426358785
166,54,666435652385423360
126,49,666437273139982337
105,21,666447344410484738
526,212,666454714377183233
234,84,666644823164719104
894,590,666649482315059201
190,48,666691418707132416
438,222,666701168228331520
240,66,666739327293083650
356,178,666776908487630848
395,203,666781792255496192
774,496,666786068205871104
244,94,666804364988780544
528,258,666817836334096384
258,98,666826780179869698
218,80,666835007768551424
834,566,666837028449972224
2600,1011,666983947667116034
248,97,666996132027977728
456,231,667012601033924608
189,51,667044094246576128
221,56,667062181243039745
169,49,667065535570550784
413,126,667073648344346624
340,130,667090893657276420
335,131,667119796878725120
4712,2293,667138269671505920
48841,17699,667152164079423490
262,65,667160273090932737
2746,1184,667165590075940865
227,93,667171260800061440
252,86,667174963120574464
624,473,667176164155375616
193,57,667177989038297088
14685,6423,667182792070062081
760,430,667188689915760640
395,109,667192066997374976
626,270,667200525029539841
500,249,667211855547486208
376,168,667369227918143488
199,58,667393430834667520
475,224,667405339315146752
310,85,667435689202614272
458,247,667437278097252352
804,603,667443425659232256
320,93,667453023279554560
194,65,667455448082227200
264,100,667470559035432960
547,235,667491009379606528
540,286,667495797102141441
544,227,667502640335572993
6949,2208,667509364010450944
377,198,667517642048163840
1745,1160,667524857454854144
487,253,667530908589760512
841,559,667534815156183040
209,69,667538891197542400
890,545,667544320556335104
341,130,667546741521195010
5957,2386,667549055577362432
0,33,667550882905632768
0,35,667550904950915073
500,332,667724302356258817
383,156,667728196545200128
457,227,667766675769573376
240,59,667773195014021121
423,253,667782464991965184
718,341,667793409583771648
338,98,667801013445750784
1085,520,667806454573760512
294,65,667832474953625600
250,81,667861340749471744
3086,1079,667866724293877760
649,425,667873844930215936
404,124,667878741721415682
844,508,667885044254572545
1954,1141,667886921285246976
871,390,667902449697558528
510,316,667911425562669056
217,58,667915453470232577
308,116,667924896115245057
1313,831,667937095915278337
685,253,668113020489474048
579,299,668142349051129856
511,329,668154635664932864
505,202,668171859951755264
670,204,668190681446379520
567,202,668204964695683073
526,209,668221241640230912
313,110,668226093875376128
6410,2982,668237644992782336
1023,510,668248472370458624
1347,649,668256321989451776
573,247,668268907921326080
851,239,668274247790391296
520,143,668286279830867968
257,34,668291999406125056
639,313,668297328638447616
916,543,668466899341221888
479,155,668480044826800133
441,248,668484198282485761
423,139,668496999348633600
334,113,668507509523615744
479,236,668528771708952576
257,78,668537837512433665
478,225,668542336805281792
538,239,668544745690562560
253,61,668567822092664832
629,331,668614819948453888
213,45,668620235289837568
1501,819,668623201287675904
407,140,668625577880875008
329,118,668627278264475648
743,336,668631377374486528
2921,1734,668633411083464705
1081,510,668636665813057536
1115,561,668641109086707712
918,557,668643542311546881
930,569,668645506898350081
547,229,668655139528511488
727,392,668779399630725120
589,285,668815180734689280
453,146,668826086256599040
468,174,668852170888998912
547,313,668872652652679168
410,160,668892474547511297
329,106,668902994700836864
277,60,668932921458302977
290,74,668955713004314625
732,249,668960084974809088
1355,616,668975677807423489
820,372,668979806671884288
560,322,668981893510119424
570,176,668986018524233728
932,499,668988183816871936
702,343,668989615043424256
773,366,668992363537309700
456,246,668994913074286592
21563,6688,669000397445533696
594,262,669006782128353280
764,390,669015743032369152
678,326,669037058363662336
1043,501,669203728096960512
457,178,669214165781868544
1227,423,669216679721873412
511,215,669324657376567296
593,120,669327207240699904
1041,437,669328503091937280
456,197,669351434509529089
667,268,669353438988365824
2794,1336,669354382627049472
380,131,669359674819481600
646,242,669363888236994561
473,166,669367896104181761
